" Select Shipping Method"," Selecione o método de envio"
"<br/>Trace confirmation request:<br/>%s","<br/> Pedido de confirmação de rastreamento: <br/> %s"
"Access Key","Chave de acesso"
"Access Key ID","ID da chave de acesso"
"Amazon Simple Pay","Amazon simples pagamento"
"Amazon Simple Pay notification error","Amazon pagar simples erro de notificação"
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.","Amazon pagar simples erro do serviço de captura de confirmação: quantidade de solicitação de confirmação não é igual ao montante da ordem."
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.","Amazon simples pagar erro de confirmação da captura do serviço: a quantidade na fatura existente não coincide com a quantidade no pedido de confirmação."
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.","Amazon pagar simples erro do serviço de captura de confirmação: o ID de transação existente não coincide com o ID de transação no pedido de confirmação."
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.","Amazon pagar simples confirmação da captura do serviço. A factura foi capturada automaticamente."
"Amazon Simple Pay service confirmation error: order states sequence violation.","Erro de confirmação do serviço Amazon simples pagar: violação de seqüências de Estados de ordem."
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.","Amazon pagar simples erro de confirmação do serviço: a moeda de ordem não coincide com a moeda do pedido IPN."
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.","Erro de confirmação do serviço Amazon pagar simples: não pode ser encontrada a ordem especificada na solicitação do IPN."
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.","Erro de confirmação do serviço Amazon pagar simples: o método de pagamento na ordem não é pagar simples da Amazônia."
"Amazon Simple Pay service confirmed capture for invoice %s.","Amazon simples pagar serviço confirmou a captura para fatura %s."
"Amazon Simple Pay service confirmed refund for credit memo %s.","Amazon simples pagar serviço confirmou a restituição para nota de crédito %s."
"Amazon Simple Pay service has confirmed amount authorization.","Amazon simples pagar serviço confirmou autorização de quantidade."
"Amazon Simple Pay service has confirmed cancelation.","Amazon simples pagar serviço confirmou o cancelamento."
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.","Amazon simples pagar serviço confirmou a captura para fatura %s. A factura foi capturada automaticamente."
"Amazon Simple Pay service has confirmed capture initiation.","Amazon simples pagar serviço confirmou a captura de iniciação."
"Amazon Simple Pay service has confirmed capture.","Amazon simples pagar serviço confirmou a captura."
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.","Amazon simples pagar serviço confirmou a captura de pagamento. Factura %s foi criado automaticamente após a confirmação."
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.","Amazon simples pagar serviço confirmou a captura de pagamento. Factura foi criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.","Amazon simples pagar serviço confirmou a restituição do pagamento. Nota de crédito %s foi criado automaticamente após a confirmação."
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.","Amazon simples pagar serviço confirmou a restituição do pagamento. Nota de crédito foi criada automaticamente."
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.","Amazon simples pagar serviço confirmou a restituição do pagamento. A nota de crédito foi criada automaticamente."
"Amazon Simple Pay service has confirmed refund.","Amazon simples pagar serviço confirmou a restituição."
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.","Amazon simples pagar serviço confirmou a restituição. A nota de crédito foi processada automaticamente."
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.","Amazon simples pagar serviço confirmou a nota de crédito reembolsado %s. A nota de crédito foi processada automaticamente."
"Amazon Simple Pay service is not available. Payment was not processed.","Amazon simples pagar o serviço não está disponível. O pagamento não foi processado."
"Amazon Simple Pay service payment confirmation has failed.","Confirmação de pagamento de serviço Amazon simples pagar falhou."
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.","Amazon pagar simples erro de confirmação do serviço restituição: a quantidade na creditmemo existente não coincide com a quantidade no pedido de confirmação."
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.","Amazon pagar simples erro de confirmação do serviço restituição: a quantidade de solicitação de confirmação não coincide com o valor do pedido."
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.","Amazon pagar simples erro de confirmação do serviço restituição: o ID de transação na creditmemo existente não coincide com o ID de transação no pedido de confirmação."
"Authorize Only","Autorizar apenas"
"Authorize and Capture","Autorizar e capturar"
"Cancel Description","Cancelar descrição"
"Cancel Order Notification received from Checkout by Amazon service.","Cancele ordem notificação recebida do check-out pelo serviço Amazon."
"Checkout by Amazon","Check-out pela Amazon"
"Continue Shopping","Continuar comprando"
"Customer was redirected to Amazon Simple Pay site","Cliente foi redirecionado para o site Amazon simples pagar"
Debug,Depurar
"Debug Log","Debug Log"
"Email Sender","E-mail remetente"
Enable,Enable
"Error Log","Log de erros"
"FPS Sandbox Service URI","Serviço de proteção FPS URI"
"FPS Service URI","FPS serviço URI"
"Immediate Return","Retorno imediato"
"Invalid action code.","Código de acção inválido."
"Invalid request.","Solicitação inválida."
"Invoice was created with Checkout by Amazon.","Factura foi criada com check-out pela Amazon."
"Merchant ID","ID de comerciante"
"Merchant Login","Login de comerciante"
"Merchant Name","Nome do comerciante"
"Merchant Password","Senha mercante"
"Merchant Token","Token de comerciante"
"Method Choice Checkout Message","Método Checkout escolha mensagem"
"New Order Notification received from Checkout by Amazon service.","Nova ordem notificação recebida do check-out pelo serviço da Amazon."
"New Order Status","Novo Status do pedido"
"Notification Error Transactional Email","E-mail transacional de erro de notificação"
"Order Ready To Ship Notification received form Checkout by Amazon service.","Encomendar que pronto para navio notificação recebida formulário check-out pelo serviço da Amazon."
